Genes	monophyletic_group_code	Species
HmN_000773900, HmN_000580400, HmN_000579900, HmN_000993100, HmN_000587500	F550_HYM_G1	H. microstoma
HmN_000580200, HmN_002066800, HmN_000938300	F551_HYM_G1	H. microstoma
HmN_000580500, HmN_000993200	F552_HYM_G1	H. microstoma
HmN_002152000, HmN_000587700	F554_HYM_G1	H. microstoma
HmN_000846400, HmN_000592700	F555_HYM_G1	H. microstoma
HmN_002282000, HmN_000601900	F556_HYM_G1	H. microstoma
HmN_000615900, HmN_000616000	F558_HYM_G1	H. microstoma
HmN_002254900, HmN_000619700	F559_HYM_G1	H. microstoma
HmN_000634700, HmN_000987500	F561_HYM_G1	H. microstoma
HmN_000964700, HmN_000637200	F562_HYM_G1	H. microstoma
HmN_002030400, HmN_000641200	F563_HYM_G1	H. microstoma
HmN_000641300, HmN_002030700, HmN_002030500, HmN_002030300	F564_HYM_G1	H. microstoma
HmN_002174600, HmN_000652100	F566_HYM_G1	H. microstoma
HmN_000653900, HmN_002174100	F567_HYM_G1	H. microstoma
HmN_000654200, HmN_002174300	F568_HYM_G1	H. microstoma
HmN_000663300, HmN_002025200	F569_HYM_G1	H. microstoma
HmN_000664300, HmN_002112700	F570_HYM_G1	H. microstoma
HmN_000675600, HmN_002038200	F571_HYM_G1	H. microstoma
HmN_002038300, HmN_000675700	F572_HYM_G1	H. microstoma
HmN_002008900, HmN_000703500	F576_HYM_G1	H. microstoma
HmN_002099900, HmN_000825800, HmN_000704000, HmN_000825700	F577_HYM_G1	H. microstoma
HmN_000708000, HmN_002256700	F579_HYM_G1	H. microstoma
HmN_000708400, HmN_002287800	F580_HYM_G1	H. microstoma
HmN_000711000, HmN_000860200	F581_HYM_G1	H. microstoma
HmN_000712900, HmN_000713200	F582_HYM_G1	H. microstoma
HmN_000713000, HmN_002267700	F583_HYM_G1	H. microstoma
HmN_000821500, HmN_000713500	F584_HYM_G1	H. microstoma
HmN_002267400, HmN_000718000, HmN_002234700	F587_HYM_G1	H. microstoma
HmN_000727800, HmN_002057700	F589_HYM_G1	H. microstoma
HmN_000731500, HmN_000731600	F590_HYM_G1	H. microstoma
HmN_002186200, HmN_000739200	F592_HYM_G1	H. microstoma
HmN_000741900, HmN_000986500	F593_HYM_G1	H. microstoma
HmN_002293100, HmN_000759600	F597_HYM_G1	H. microstoma
HmN_000805800, HmN_000922400, HmN_000921900, HmN_000760000, HmN_002134400	F598_HYM_G1	H. microstoma
HmN_000942100, HmN_002060800	F601_HYM_G1	H. microstoma
HmN_000786200, HmN_002077700, HmN_000991000, HmN_000786400, HmN_000785500, HmN_000951200, HmN_000991200, HmN_002095400, HmN_000896000, HmN_002241400, HmN_000785600	F603_HYM_G1	H. microstoma
HmN_002287200, HmN_002252000, HmN_002251400, HmN_000787300, HmN_002279300, HmN_002283800, HmN_002164100, HmN_002253800, HmN_002257600, HmN_002188500, HmN_002284800, HmN_002189600, HmN_002286600, HmN_002280600, HmN_002252300, HmN_002276400, HmN_002288000	F605_HYM_G1	H. microstoma
HmN_000796800, HmN_002090900	F607_HYM_G1	H. microstoma
HmN_002070800, HmN_000801300	F608_HYM_G1	H. microstoma
HmN_002176000, HmN_000802400	F609_HYM_G1	H. microstoma
HmN_000803000, HmN_001002600, HmN_001015800	F610_HYM_G1	H. microstoma
HmN_000804900, HmN_000805000	F611_HYM_G1	H. microstoma
HmN_000805400, HmN_002210000	F612_HYM_G1	H. microstoma
HmN_000810700, HmN_000990200	F613_HYM_G1	H. microstoma
HmN_002242100, HmN_000810900	F614_HYM_G1	H. microstoma
HmN_000878100, HmN_000812900, HmN_000842600	F615_HYM_G1	H. microstoma
HmN_000819200, HmN_002160100	F616_HYM_G1	H. microstoma
HmN_000823900, HmN_000823100, HmN_001027900, HmN_000822600, HmN_001028100	F617_HYM_G1	H. microstoma
HmN_002095200, HmN_000823300, HmN_002092800	F618_HYM_G1	H. microstoma
HmN_002274900, HmN_000829300, HmN_002294500	F620_HYM_G1	H. microstoma
HmN_001030100, HmN_000833100	F621_HYM_G1	H. microstoma
HmN_000837000, HmN_002096700	F622_HYM_G1	H. microstoma
HmN_002278700, HmN_000842100	F624_HYM_G1	H. microstoma
HmN_000856100, HmN_000857500	F627_HYM_G1	H. microstoma
HmN_000862300, HmN_000863000	F628_HYM_G1	H. microstoma
HmN_000862600, HmN_000862400	F629_HYM_G1	H. microstoma
HmN_002065000, HmN_000864300	F630_HYM_G1	H. microstoma
HmN_000866800, HmN_000867800	F631_HYM_G1	H. microstoma
HmN_002234800, HmN_000870000	F632_HYM_G1	H. microstoma
HmN_002234900, HmN_002053700, HmN_000870100	F633_HYM_G1	H. microstoma
HmN_000870200, HmN_002235000	F634_HYM_G1	H. microstoma
HmN_000871100, HmN_002295000	F635_HYM_G1	H. microstoma
HmN_002086200, HmN_000872400	F636_HYM_G1	H. microstoma
HmN_000882300, HmN_001012300, HmN_000882700	F637_HYM_G1	H. microstoma
HmN_000883300, HmN_000883700	F638_HYM_G1	H. microstoma
HmN_000883900, HmN_000883500	F639_HYM_G1	H. microstoma
HmN_000885600, HmN_002279700	F640_HYM_G1	H. microstoma
HmN_000886700, HmN_002067000	F641_HYM_G1	H. microstoma
HmN_002168200, HmN_000887100	F642_HYM_G1	H. microstoma
HmN_000893700, HmN_000899800	F643_HYM_G1	H. microstoma
HmN_000895800, HmN_000895900	F644_HYM_G1	H. microstoma
HmN_000901100, HmN_002260000	F645_HYM_G1	H. microstoma
HmN_002258400, HmN_000903800	F646_HYM_G1	H. microstoma
HmN_002269900, HmN_000905600, HmN_000905400	F647_HYM_G1	H. microstoma
HmN_002270000, HmN_000905700	F648_HYM_G1	H. microstoma
HmN_002291500, HmN_000906400, HmN_002291400, HmN_002271300	F649_HYM_G1	H. microstoma
HmN_000906900, HmN_002258000	F650_HYM_G1	H. microstoma
HmN_000914000, HmN_002056100	F652_HYM_G1	H. microstoma
HmN_000971000, HmN_000918000	F653_HYM_G1	H. microstoma
HmN_000971100, HmN_000918100	F654_HYM_G1	H. microstoma
HmN_000919500, HmN_000920200	F655_HYM_G1	H. microstoma
HmN_002265300, HmN_002062800, HmN_000919900	F656_HYM_G1	H. microstoma
HmN_000923400, HmN_000920900	F657_HYM_G1	H. microstoma
HmN_000922300, HmN_002050800	F658_HYM_G1	H. microstoma
HmN_000922500, HmN_002050500, HmN_002120300, HmN_002050600	F659_HYM_G1	H. microstoma
HmN_000922600, HmN_002050400	F660_HYM_G1	H. microstoma
HmN_002062500, HmN_000922900	F661_HYM_G1	H. microstoma
HmN_002062400, HmN_000923000	F662_HYM_G1	H. microstoma
HmN_000925300, HmN_000926000	F663_HYM_G1	H. microstoma
HmN_000930500, HmN_000930700	F664_HYM_G1	H. microstoma
HmN_000957700, HmN_000931500	F665_HYM_G1	H. microstoma
HmN_002027000, HmN_000933600	F666_HYM_G1	H. microstoma
HmN_002266000, HmN_000934300	F667_HYM_G1	H. microstoma
HmN_002266100, HmN_000934500, HmN_002269600	F668_HYM_G1	H. microstoma
HmN_002079200, HmN_002091200, HmN_000934600	F669_HYM_G1	H. microstoma
HmN_000937700, HmN_002050000	F670_HYM_G1	H. microstoma
HmN_000938700, HmN_002111100	F671_HYM_G1	H. microstoma
HmN_000941200, HmN_000942400, HmN_002061000	F672_HYM_G1	H. microstoma
HmN_002262200, HmN_000950300	F673_HYM_G1	H. microstoma
HmN_002079700, HmN_000951100	F674_HYM_G1	H. microstoma
HmN_002261300, HmN_000952300	F675_HYM_G1	H. microstoma
HmN_000953600, HmN_002059000	F676_HYM_G1	H. microstoma
HmN_002090300, HmN_000955800	F677_HYM_G1	H. microstoma
HmN_002254300, HmN_000957200	F678_HYM_G1	H. microstoma
HmN_002075200, HmN_000958600	F679_HYM_G1	H. microstoma
HmN_000965500, HmN_000966200	F680_HYM_G1	H. microstoma
HmN_000967700, HmN_002088600, HmN_000967100	F681_HYM_G1	H. microstoma
HmN_000967200, HmN_000967600	F682_HYM_G1	H. microstoma
HmN_000969900, HmN_001020700, HmN_001020600	F683_HYM_G1	H. microstoma
HmN_000971600, HmN_000972200	F684_HYM_G1	H. microstoma
HmN_000971900, HmN_000971800	F685_HYM_G1	H. microstoma
HmN_002283500, HmN_002170200, HmN_000974100	F687_HYM_G1	H. microstoma
HmN_002262100, HmN_000975700	F688_HYM_G1	H. microstoma
HmN_000979500, HmN_002263000	F689_HYM_G1	H. microstoma
HmN_000984300, HmN_002263800	F690_HYM_G1	H. microstoma
HmN_000984500, HmN_000985000	F691_HYM_G1	H. microstoma
HmN_000984900, HmN_002069700	F692_HYM_G1	H. microstoma
HmN_000985300, HmN_002069500	F693_HYM_G1	H. microstoma
HmN_000986100, HmN_000986300	F694_HYM_G1	H. microstoma
HmN_000991300, HmN_000991100	F696_HYM_G1	H. microstoma
HmN_002027900, HmN_000992100	F697_HYM_G1	H. microstoma
HmN_000996900, HmN_002262900	F698_HYM_G1	H. microstoma
HmN_002071800, HmN_000997400	F699_HYM_G1	H. microstoma
HmN_000997600, HmN_000998100	F700_HYM_G1	H. microstoma
HmN_001000300, HmN_001000500	F701_HYM_G1	H. microstoma
HmN_002078300, HmN_001007300	F702_HYM_G1	H. microstoma
HmN_001007800, HmN_002078600	F703_HYM_G1	H. microstoma
HmN_002211900, HmN_001012600	F704_HYM_G1	H. microstoma
HmN_001014200, HmN_002010900	F705_HYM_G1	H. microstoma
HmN_002103400, HmN_001014600	F706_HYM_G1	H. microstoma
HmN_001015600, HmN_002088500	F707_HYM_G1	H. microstoma
HmN_001015700, HmN_001020300	F708_HYM_G1	H. microstoma
HmN_001015900, HmN_001016000	F709_HYM_G1	H. microstoma
HmN_001016200, HmN_002267500	F710_HYM_G1	H. microstoma
HmN_002006600, HmN_001016500	F711_HYM_G1	H. microstoma
HmN_001018500, HmN_001018400	F712_HYM_G1	H. microstoma
HmN_001026000, HmN_001022200	F713_HYM_G1	H. microstoma
HmN_001027400, HmN_001027500	F714_HYM_G1	H. microstoma
HmN_001028300, HmN_001028400, HmN_002268500	F715_HYM_G1	H. microstoma
HmN_001028600, HmN_001028700	F716_HYM_G1	H. microstoma
HmN_002086100, HmN_001031300	F717_HYM_G1	H. microstoma
HmN_001031400, HmN_002271800	F718_HYM_G1	H. microstoma
HmN_002006700, HmN_002193700	F719_HYM_G1	H. microstoma
HmN_002016000, HmN_002016200	F721_HYM_G1	H. microstoma
HmN_002019300, HmN_002019200	F722_HYM_G1	H. microstoma
HmN_002021900, HmN_002021700	F723_HYM_G1	H. microstoma
HmN_002027200, HmN_002027300	F725_HYM_G1	H. microstoma
HmN_002037100, HmN_002089700	F726_HYM_G1	H. microstoma
HmN_002038100, HmN_002098700, HmN_002038000	F728_HYM_G1	H. microstoma
HmN_002232300, HmN_002232000, HmN_002040800	F729_HYM_G1	H. microstoma
HmN_002253700, HmN_002043800, HmN_002292300, HmN_002279500	F730_HYM_G1	H. microstoma
HmN_002170100, HmN_002051600	F731_HYM_G1	H. microstoma
HmN_002238300, HmN_002237800, HmN_002054400	F732_HYM_G1	H. microstoma
HmN_002082000, HmN_002057500	F733_HYM_G1	H. microstoma
HmN_002068400, HmN_002058000	F734_HYM_G1	H. microstoma
HmN_002242500, HmN_002058400, HmN_002242700	F735_HYM_G1	H. microstoma
HmN_002072300, HmN_002093200, HmN_002078000, HmN_002074100, HmN_002077100, HmN_002058500, HmN_002075100	F736_HYM_G1	H. microstoma
HmN_002266900, HmN_002059500	F737_HYM_G1	H. microstoma
HmN_002063700, HmN_002059700, HmN_002063600	F738_HYM_G1	H. microstoma
HmN_002060700, HmN_002079500	F739_HYM_G1	H. microstoma
HmN_002065200, HmN_002066900	F740_HYM_G1	H. microstoma
HmN_002268800, HmN_002068100, HmN_002263500	F741_HYM_G1	H. microstoma
HmN_002068300, HmN_002068200	F742_HYM_G1	H. microstoma
HmN_002073300, HmN_002069600	F743_HYM_G1	H. microstoma
HmN_002072700, HmN_002236100	F745_HYM_G1	H. microstoma
HmN_002075300, HmN_002120400	F746_HYM_G1	H. microstoma
HmN_002076200, HmN_002076000	F747_HYM_G1	H. microstoma
HmN_002078200, HmN_002078400	F748_HYM_G1	H. microstoma
HmN_002080300, HmN_002184400	F749_HYM_G1	H. microstoma
HmN_002213200, HmN_002083400	F750_HYM_G1	H. microstoma
HmN_002084700, HmN_002091300, HmN_002144400	F751_HYM_G1	H. microstoma
HmN_002085100, HmN_002240600	F752_HYM_G1	H. microstoma
HmN_002086400, HmN_002177200	F753_HYM_G1	H. microstoma
HmN_002130100, HmN_002086600	F754_HYM_G1	H. microstoma
HmN_002089500, HmN_002239800	F755_HYM_G1	H. microstoma
HmN_002094300, HmN_002287900	F758_HYM_G1	H. microstoma
HmN_002095000, HmN_002143100	F759_HYM_G1	H. microstoma
HmN_002096300, HmN_002095100	F760_HYM_G1	H. microstoma
HmN_002238500, HmN_002095700, HmN_002095300, HmN_002294100	F761_HYM_G1	H. microstoma
HmN_002156800, HmN_002096000	F762_HYM_G1	H. microstoma
HmN_002102000, HmN_002102100	F763_HYM_G1	H. microstoma
HmN_002257400, HmN_002119500	F767_HYM_G1	H. microstoma
HmN_002242400, HmN_002130000	F769_HYM_G1	H. microstoma
HmN_002144800, HmN_002144700	F770_HYM_G1	H. microstoma
HmN_002146700, HmN_002146800	F772_HYM_G1	H. microstoma
HmN_002158300, HmN_002158100	F774_HYM_G1	H. microstoma
HmN_002237100, HmN_002166000	F775_HYM_G1	H. microstoma
HmN_002171800, HmN_002171700	F777_HYM_G1	H. microstoma
HmN_002178400, HmN_002178500	F780_HYM_G1	H. microstoma
HmN_002186300, HmN_002186100	F782_HYM_G1	H. microstoma
HmN_002190800, HmN_002190700	F783_HYM_G1	H. microstoma
HmN_002194600, HmN_002194700	F784_HYM_G1	H. microstoma
HmN_002195800, HmN_002195900	F785_HYM_G1	H. microstoma
HmN_002249100, HmN_002214400	F787_HYM_G1	H. microstoma
HmN_002238400, HmN_002237900	F788_HYM_G1	H. microstoma
HmN_002238900, HmN_002238000	F789_HYM_G1	H. microstoma
HmN_002246000, HmN_002246100	F794_HYM_G1	H. microstoma
HmN_002251500, HmN_002271200	F795_HYM_G1	H. microstoma
HmN_002253500, HmN_002276100	F796_HYM_G1	H. microstoma
HmN_002288900, HmN_002264600	F799_HYM_G1	H. microstoma
HmN_002296100, HmN_002270400	F800_HYM_G1	H. microstoma
HmN_002275900, HmN_002276000	F801_HYM_G1	H. microstoma
HmN_002276600, HmN_002294400	F802_HYM_G1	H. microstoma
HmN_002277200, HmN_002277100	F803_HYM_G1	H. microstoma
HmN_002287500, HmN_002287600	F804_HYM_G1	H. microstoma
HmN_000081900, HmN_002114200	F1019_HYM_G1	H. microstoma
HmN_000577600, HmN_002119100	F2915_HYM_G1	H. microstoma
HmN_000856800, HmN_000856900	F2956_HYM_G1	H. microstoma
HmN_002158000, HmN_002157900	F4406_HYM_G1	H. microstoma
HmN_000545200, HmN_002060100	F6212_HYM_G1	H. microstoma
HmN_000731100, HmN_000978800	F6998_HYM_G1	H. microstoma
HmN_000945600, HmN_002057200	F7159_HYM_G1	H. microstoma
HmN_000685050, HmN_000685150	F7678_HYM_G1	H. microstoma
HmN_002090200, HmN_002128800	F8065_HYM_G1	H. microstoma
HmN_002157200, HmN_002157300	F8494_HYM_G1	H. microstoma
HmN_002004600, HmN_002004700	F9321_HYM_G1	H. microstoma
HmN_000929200, HmN_002155000	F9813_HYM_G1	H. microstoma
HmN_002137800, HmN_002268600	F11794_HYM_G1	H. microstoma
HmN_000996200, HmN_000996300	F12705_HYM_G1	H. microstoma
HmN_000996600, HmN_002074300	F12748_HYM_G1	H. microstoma
HmN_000722000, HmN_002182400	F13001_HYM_G1	H. microstoma
HmN_000367800, HmN_002012100	F13058_HYM_G1	H. microstoma
HmN_000965300, HmN_000966000	F13349_HYM_G1	H. microstoma
HmN_000493600, HmN_002141000, HmN_002141200, HmN_002141100	F14627_HYM_G1	H. microstoma
HmN_000891400, HmN_000895300	F14630_HYM_G1	H. microstoma
HmN_000892200, HmN_002067200, HmN_000894300	F14632_HYM_G1	H. microstoma
HmN_000953500, HmN_002059100	F14634_HYM_G1	H. microstoma
HmN_000454000, HmN_002009800	F14646_HYM_G1	H. microstoma
HmN_000477100, HmN_002000400	F14650_HYM_G1	H. microstoma
HmN_000144300, HmN_002193800	F14654_HYM_G1	H. microstoma
HmN_000918700, HmN_000918800	F14658_HYM_G1	H. microstoma
HmN_000954000, HmN_002074500	F14660_HYM_G1	H. microstoma
HmN_000958300, HmN_000958800	F14664_HYM_G1	H. microstoma
HmN_000941000, HmN_000942600	F14665_HYM_G1	H. microstoma
HmN_000961000, HmN_000961300	F14666_HYM_G1	H. microstoma
HmN_000348000, HmN_002195300	F14697_HYM_G1	H. microstoma
HmN_000183900, HmN_002154700	F14700_HYM_G1	H. microstoma
HmN_000565900, HmN_002017000, HmN_002016900	F14751_HYM_G1	H. microstoma
HmN_000193900, HmN_002090800	F14781_HYM_G1	H. microstoma
HmN_000736800, HmN_002130800	F14806_HYM_G1	H. microstoma
HmN_000932500, HmN_002071500	F14927_HYM_G1	H. microstoma
HmN_000951400, HmN_000951700	F14928_HYM_G1	H. microstoma
HmN_000113800, HmN_002043200	F14962_HYM_G1	H. microstoma
HmN_000667400, HmN_002212900	F15030_HYM_G1	H. microstoma
HmN_000890800, HmN_001023400	F15247_HYM_G1	H. microstoma
HmN_000822000, HmN_000824500	F15278_HYM_G1	H. microstoma
HmN_000979100, HmN_002035800, HmN_000979600	F15312_HYM_G1	H. microstoma
HmN_000162800, HmN_002116500	F15328_HYM_G1	H. microstoma
HmN_001010400, HmN_002079400	F15335_HYM_G1	H. microstoma
HmN_000949300, HmN_000950500	F15336_HYM_G1	H. microstoma
HmN_000961500, HmN_000961800	F15370_HYM_G1	H. microstoma
HmN_000552400, HmN_002251800	F15386_HYM_G1	H. microstoma
HmN_000565600, HmN_002051000	F15398_HYM_G1	H. microstoma
HmN_000358300, HmN_002015900	F15400_HYM_G1	H. microstoma
HmN_000886900, HmN_002051300	F15446_HYM_G1	H. microstoma
HmN_000069400, HmN_002101100	F15459_HYM_G1	H. microstoma
HmN_000934100, HmN_000943400	F15466_HYM_G1	H. microstoma
HmN_000310500, HmN_002024800	F15469_HYM_G1	H. microstoma
HmN_000309400, HmN_002181000	F15470_HYM_G1	H. microstoma
HmN_000007400, HmN_002190900	F15481_HYM_G1	H. microstoma
HmN_000203850, HmN_002202900	F15485_HYM_G1	H. microstoma
HmN_000876300, HmN_002247400, HmN_002265100	F15489_HYM_G1	H. microstoma
HmN_000653600, HmN_002173800	F15497_HYM_G1	H. microstoma
HmN_000653800, HmN_002174000	F15498_HYM_G1	H. microstoma
HmN_000634400, HmN_000987840, HmN_000634600, HmN_000987400	F15502_HYM_G1	H. microstoma
HmN_002052400, HmN_002052900	F15565_HYM_G1	H. microstoma
HmN_000965200, HmN_000965900	F15605_HYM_G1	H. microstoma
HmN_000927600, HmN_002081000	F15637_HYM_G1	H. microstoma
HmN_000939200, HmN_002111500	F15668_HYM_G1	H. microstoma
HmN_000939800, HmN_002111600	F15669_HYM_G1	H. microstoma
HmN_000022100, HmN_002184800	F15674_HYM_G1	H. microstoma
HmN_000876600, HmN_002037000	F15717_HYM_G1	H. microstoma
HmN_000374000, HmN_002179300	F15729_HYM_G1	H. microstoma
HmN_000581200, HmN_002023900	F15759_HYM_G1	H. microstoma
HmN_000857400, HmN_002049800	F15774_HYM_G1	H. microstoma
HmN_001009300, HmN_001009500, HmN_000969800	F15800_HYM_G1	H. microstoma
HmN_000969700, HmN_000980400	F15800_HYM_G2	H. microstoma
HmN_001004000, HmN_002076100	F15806_HYM_G1	H. microstoma
HmN_000296600, HmN_002200700	F15810_HYM_G1	H. microstoma
HmN_000358600, HmN_002015600	F15813_HYM_G1	H. microstoma
HmN_000653100, HmN_002173300	F15822_HYM_G1	H. microstoma
HmN_000577700, HmN_002119200	F15835_HYM_G1	H. microstoma
HmN_000177200, HmN_000177300	F15842_HYM_G1	H. microstoma
HmN_000039700, HmN_002130700	F15988_HYM_G1	H. microstoma
HmN_002241700, HmN_000896700	F16442_HYM_G1	H. microstoma
HmN_002032000, HmN_002292100	F16503_HYM_G1	H. microstoma
HmN_000990700, HmN_000978500, HmN_000978600	F16538_HYM_G1	H. microstoma
HmN_002259200, HmN_000307300, HmN_002259100	F16750_HYM_G1	H. microstoma
HmN_002071300, HmN_002083100	F17069_HYM_G1	H. microstoma
HmN_000903900, HmN_002258500, HmN_000903100	F17085_HYM_G1	H. microstoma
HmN_000308600, HmN_002180800	F17249_HYM_G1	H. microstoma
HmN_000155500, HmN_000994500	F17882_HYM_G1	H. microstoma
HmN_002089900, HmN_002285900	F18041_HYM_G1	H. microstoma
HmN_000021900, HmN_002081400	F18179_HYM_G1	H. microstoma
HmN_000772100, HmN_002225600	F18953_HYM_G1	H. microstoma
HmN_000887300, HmN_002168300	F19147_HYM_G1	H. microstoma
HmN_002044100, HmN_002161100	F19851_HYM_G1	H. microstoma
HmN_000711400, HmN_002148600	F20367_HYM_G1	H. microstoma
HmN_000866900, HmN_000867700	F20703_HYM_G1	H. microstoma
HmN_000053300, HmN_002289400, HmN_001012800	F20977_HYM_G1	H. microstoma
HmN_000937200, HmN_002050100	F21257_HYM_G1	H. microstoma
HmN_000945100, HmN_000945400	F21523_HYM_G1	H. microstoma
HmN_000600500, HmN_002018200	F21721_HYM_G1	H. microstoma
HmN_000919700, HmN_000920000	F22056_HYM_G1	H. microstoma
HmN_000934200, HmN_000943500	F22092_HYM_G1	H. microstoma
HmN_000919000, HmN_002043900	F22133_HYM_G1	H. microstoma
HmN_002254500, HmN_002254700	F22143_HYM_G1	H. microstoma
HmN_000615300, HmN_002005400	F22304_HYM_G1	H. microstoma
HmN_000941100, HmN_000942500	F22309_HYM_G1	H. microstoma
HmN_000731000, HmN_002053800	F22385_HYM_G1	H. microstoma
HmN_000810500, HmN_002241300	F22395_HYM_G1	H. microstoma
HmN_000315200, HmN_002291700	F22434_HYM_G1	H. microstoma
HmN_000020100, HmN_002085400	F22513_HYM_G1	H. microstoma
HmN_000577400, HmN_002119800	F22603_HYM_G1	H. microstoma
HmN_000661700, HmN_002040700	F22618_HYM_G1	H. microstoma
HmN_000833000, HmN_002049000	F22692_HYM_G1	H. microstoma
HmN_000975500, HmN_000975600	F22716_HYM_G1	H. microstoma
HmN_000068700, HmN_002101000	F22944_HYM_G1	H. microstoma
HmN_000977200, HmN_002051700	F22977_HYM_G1	H. microstoma
HmN_000432000, HmN_000432100	F23012_HYM_G1	H. microstoma
HmN_000685000, HmN_000685100	F23201_HYM_G1	H. microstoma
HmN_000547500, HmN_002181300	F23243_HYM_G1	H. microstoma
HmN_000892100, HmN_000894400	F23245_HYM_G1	H. microstoma
HmN_000069600, HmN_002089300, HmN_002272700	F23246_HYM_G1	H. microstoma
HmN_000249200, HmN_002052600	F23247_HYM_G1	H. microstoma
HmN_000936300, HmN_002074800	F23248_HYM_G1	H. microstoma
HmN_000909400, HmN_000909900	F23281_HYM_G1	H. microstoma
HmN_002077200, HmN_000916300, HmN_002077300	F23295_HYM_G1	H. microstoma
HmN_000932400, HmN_000985700	F23303_HYM_G1	H. microstoma
HmN_000376900, HmN_001026500	F23324_HYM_G1	H. microstoma
HmN_000874100, HmN_002027800	F23356_HYM_G1	H. microstoma
HmN_000514100, HmN_002138300	F23365_HYM_G1	H. microstoma
HmN_000514400, HmN_001018700	F23392_HYM_G1	H. microstoma
HmN_000940100, HmN_002111400	F23415_HYM_G1	H. microstoma
HmN_000934000, HmN_000943300	F23497_HYM_G1	H. microstoma
HmN_000963600, HmN_000964300	F23508_HYM_G1	H. microstoma
HmN_000257200, HmN_002215800	F23516_HYM_G1	H. microstoma
HmN_000979300, HmN_000979400	F23517_HYM_G1	H. microstoma
HmN_000876100, HmN_000877400	F23561_HYM_G1	H. microstoma
HmN_000935800, HmN_000936500	F23588_HYM_G1	H. microstoma
HmN_000730900, HmN_002054100, HmN_000979000, HmN_002053900	F23642_HYM_G1	H. microstoma
HmN_000858100, HmN_002258700	F23644_HYM_G1	H. microstoma
HmN_000984000, HmN_002062600	F23670_HYM_G1	H. microstoma
HmN_000822200, HmN_000824300	F23681_HYM_G1	H. microstoma
HmN_000935900, HmN_000936600	F23686_HYM_G1	H. microstoma
HmN_000862800, HmN_000863100	F23767_HYM_G1	H. microstoma
HmN_000124600, HmN_002205300	F23768_HYM_G1	H. microstoma
HmN_000965700, HmN_002065700	F23830_HYM_G1	H. microstoma
HmN_000856000, HmN_000857600	F23847_HYM_G1	H. microstoma
HmN_000769000, HmN_002167700	F23867_HYM_G1	H. microstoma
HmN_000923100, HmN_002062300	F23869_HYM_G1	H. microstoma
HmN_000612400, HmN_002008100	F23900_HYM_G1	H. microstoma
HmN_000722100, HmN_002182500	F23957_HYM_G1	H. microstoma
HmN_000041300, HmN_002276900	F24012_HYM_G1	H. microstoma
HmN_000033800, HmN_002133000	F24013_HYM_G1	H. microstoma
HmN_000882200, HmN_000882800	F24021_HYM_G1	H. microstoma
HmN_000940300, HmN_002111200	F24026_HYM_G1	H. microstoma
HmN_000463400, HmN_002009700	F24033_HYM_G1	H. microstoma
HmN_000920400, HmN_002112300	F24050_HYM_G1	H. microstoma
HmN_000653300, HmN_002173500	F24066_HYM_G1	H. microstoma
HmN_000855700, HmN_000858000	F24138_HYM_G1	H. microstoma
HmN_000936000, HmN_000936700	F24177_HYM_G1	H. microstoma
HmN_000358700, HmN_002015500	F24193_HYM_G1	H. microstoma
HmN_002109000, HmN_002109900	F24201_HYM_G1	H. microstoma
HmN_002108900, HmN_002109800	F24201_HYM_G2	H. microstoma
HmN_000330800, HmN_002201300	F24207_HYM_G1	H. microstoma
HmN_000653200, HmN_002173400	F24210_HYM_G1	H. microstoma
HmN_000788200, HmN_002187000	F24211_HYM_G1	H. microstoma
HmN_000934400, HmN_002079100	F24213_HYM_G1	H. microstoma
HmN_000973600, HmN_000974300	F24215_HYM_G1	H. microstoma
HmN_000892000, HmN_000894500	F24220_HYM_G1	H. microstoma
HmN_001005600, HmN_002077400	F24221_HYM_G1	H. microstoma
HmN_000964100, HmN_002073700	F24222_HYM_G1	H. microstoma
HmN_000641700, HmN_002218100	F24253_HYM_G1	H. microstoma
HmN_000936900, HmN_000938100	F24260_HYM_G1	H. microstoma
HmN_002105700, HmN_002105800	F24265_HYM_G1	H. microstoma
HmN_000328300, HmN_002006800	F24289_HYM_G1	H. microstoma
HmN_000099000, HmN_002167000	F24292_HYM_G1	H. microstoma
HmN_000538600, HmN_000539200	F24361_HYM_G1	H. microstoma
HmN_000312500, HmN_002244100	F24411_HYM_G1	H. microstoma
HmN_000910200, HmN_002245400	F24418_HYM_G1	H. microstoma
HmN_000348400, HmN_002195400	F24443_HYM_G1	H. microstoma
HmN_000951500, HmN_000951600	F24497_HYM_G1	H. microstoma
HmN_000110400, HmN_002234100	F24504_HYM_G1	H. microstoma
HmN_000249100, HmN_002052500	F24519_HYM_G1	H. microstoma
HmN_000085900, HmN_002285700	F24530_HYM_G1	H. microstoma
HmN_002209200, HmN_002209400	F24587_HYM_G1	H. microstoma
HmN_000772800, HmN_002012800	F24615_HYM_G1	H. microstoma
HmN_000876700, HmN_000877000	F24641_HYM_G1	H. microstoma
HmN_000940200, HmN_002111300	F24654_HYM_G1	H. microstoma
HmN_000358400, HmN_002015800	F24656_HYM_G1	H. microstoma
HmN_000891500, HmN_000895200	F24672_HYM_G1	H. microstoma
HmN_000954200, HmN_000954700	F24680_HYM_G1	H. microstoma
HmN_000919600, HmN_000920100	F24700_HYM_G1	H. microstoma
HmN_000856500, HmN_000857100	F24770_HYM_G1	H. microstoma
